T,num_series,coint_frac,num_of_rw,SADF_mean,SADF_median,SADF_min,SADF_max,SADF_std,SADF_p25,SADF_p75,SADF_p95,SADF_p99,crit_95,crit_99,power
300,100,0.4,0.4,4.529,4.18,-1.91,12.167,2.432,2.779,6.103,9.041,10.688,5.172,6.205,0.36533333333333334
300,100,0.6,0.4,2.494,2.447,-3.16,10.803,2.391,0.804,4.156,6.435,8.037,3.276,4.331,0.37
300,100,0.8,0.4,0.678,0.629,-2.896,7.834,2.423,-1.292,2.483,4.749,6.326,2.838,4.049,0.19933333333333333
500,100,0.4,0.4,13.714,15.847,-1.946,21.268,5.36,11.375,17.595,18.999,19.882,3.505,4.621,0.9173333333333333
500,100,0.6,0.4,7.376,7.497,-3.64,18.48,5.092,3.179,11.352,15.633,17.161,2.845,4.003,0.774
500,100,0.8,0.4,3.386,3.53,-3.287,14.05,3.615,0.789,6.087,9.081,10.906,2.455,3.578,0.608
800,100,0.4,0.4,24.23,24.764,-2.401,27.665,2.99,24.074,25.385,26.303,26.906,3.049,3.926,0.9953333333333333
800,100,0.6,0.4,25.227,26.666,-1.309,30.182,4.847,25.391,27.481,28.53,29.367,2.957,4.025,0.9866666666666667
800,100,0.8,0.4,12.602,13.191,-4.612,23.532,5.658,9.103,16.927,20.459,22.43,2.312,3.548,0.9413333333333334
1000,100,0.4,0.4,28.465,28.484,-0.022,31.568,1.325,27.917,29.099,29.937,30.483,3.191,4.117,0.9993333333333333
1000,100,0.6,0.4,30.675,31.028,-0.543,33.754,2.474,30.407,31.609,32.351,32.979,2.734,3.693,0.998
1000,100,0.8,0.4,15.198,16.414,-4.645,29.851,8.394,9.672,22.046,26.52,28.107,2.27,3.402,0.9026666666666666
300,100,0.4,0.6,4.974,4.748,-1.432,13.812,2.788,2.925,6.992,9.844,11.129,5.639,6.928,0.3913333333333333
300,100,0.6,0.6,2.838,2.811,-3.16,9.595,2.416,1.157,4.511,6.798,8.436,3.505,4.361,0.392
300,100,0.8,0.6,0.632,0.58,-2.896,7.899,2.511,-1.527,2.527,4.837,6.368,3.159,4.52,0.176
500,100,0.4,0.6,14.844,16.641,-2.192,21.1,4.624,13.724,17.806,18.922,19.724,3.537,4.703,0.9493333333333334
500,100,0.6,0.6,8.489,8.804,-3.64,20.045,5.429,4.066,12.929,16.528,18.037,3.157,4.14,0.7953333333333333
500,100,0.8,0.6,5.774,6.187,-3.287,15.24,3.603,3.516,8.43,11.051,12.554,2.512,3.85,0.8206666666666667
800,100,0.4,0.6,23.754,24.059,-1.593,26.766,2.428,23.488,24.641,25.503,26.155,3.18,4.066,0.996
800,100,0.6,0.6,25.753,26.559,-0.804,29.926,3.633,25.708,27.233,28.157,28.586,3.025,4.162,0.9946666666666667
800,100,0.8,0.6,9.535,10.173,-4.612,22.968,6.258,5.134,14.411,18.641,20.702,2.443,3.442,0.848
1000,100,0.4,0.6,27.286,27.27,12.558,30.87,0.928,26.718,27.836,28.71,29.248,3.27,4.214,1.0
1000,100,0.6,0.6,30.159,30.913,-1.661,34.215,3.861,30.2,31.516,32.394,32.814,2.807,3.902,0.9946666666666667
1000,100,0.8,0.6,10.551,10.654,-4.645,29.169,7.983,4.258,16.688,23.302,26.578,2.294,3.423,0.8113333333333334
