T,num_series,coint_frac,num_of_rw,SADF_mean,SADF_median,SADF_min,SADF_max,SADF_std,SADF_p25,SADF_p75,SADF_p95,SADF_p99,crit_95,crit_99,power
300,25,0.4,0.4,4.396,4.097,-3.246,12.9,3.183,1.831,6.871,9.862,11.53,2.616,3.455,66.0%
300,25,0.6,0.4,3.167,3.194,-2.998,10.644,2.754,1.159,5.197,7.719,8.922,2.406,3.156,60.1%
300,25,0.8,0.4,0.202,0.081,-3.043,8.806,2.441,-1.916,2.065,4.476,5.691,1.679,2.85,29.4%
500,25,0.4,0.4,15.924,17.576,-2.264,20.781,4.379,15.537,18.432,19.464,20.097,2.518,3.274,97.1%
500,25,0.6,0.4,9.11,9.786,-4.227,19.377,5.498,4.612,13.793,16.912,17.87,2.612,3.411,82.9%
500,25,0.8,0.4,4.01,4.32,-4.049,12.674,3.457,1.988,6.522,9.032,10.824,1.659,2.914,76.9%
800,25,0.4,0.4,23.839,24.088,0.25,27.31,1.98,23.49,24.629,25.441,25.893,2.778,3.719,99.7%
800,25,0.6,0.4,25.165,26.338,-1.648,29.198,4.24,25.346,27.012,27.845,28.414,2.282,3.216,99.2%
800,25,0.8,0.4,9.099,9.561,-4.184,22.638,5.974,4.887,13.556,18.17,20.217,1.787,2.944,86.5%
1000,25,0.4,0.4,27.204,27.191,12.209,30.447,0.895,26.678,27.723,28.558,29.29,2.582,3.486,100.0%
1000,25,0.6,0.4,30.032,30.74,-2.189,34.068,3.687,30.096,31.294,32.069,32.58,2.545,3.274,99.7%
1000,25,0.8,0.4,11.157,11.582,-4.169,27.816,7.939,4.809,17.549,23.59,26.533,1.818,3.054,85.1%
300,25,0.4,0.6,4.186,3.995,-3.246,12.859,3.019,1.817,6.34,9.36,11.217,2.779,3.643,63.9%
300,25,0.6,0.6,3.031,3.072,-2.998,10.302,2.743,0.984,4.98,7.586,8.956,2.308,3.116,60.3%
300,25,0.8,0.6,0.191,0.117,-3.043,7.539,2.399,-1.996,2.047,4.198,5.385,1.577,2.736,30.6%
500,25,0.4,0.6,16.068,17.613,-1.71,20.488,4.201,15.862,18.439,19.355,19.972,2.541,3.427,97.5%
500,25,0.6,0.6,9.866,10.894,-3.128,19.048,5.427,5.927,14.348,17.124,18.251,2.639,3.527,85.7%
500,25,0.8,0.6,5.091,5.562,-4.049,13.37,3.397,3.169,7.505,9.986,11.451,1.777,2.752,83.3%
800,25,0.4,0.6,23.7,23.854,-0.538,26.775,1.817,23.276,24.419,25.296,25.942,2.814,3.534,99.7%
800,25,0.6,0.6,25.438,26.37,-1.394,29.009,3.884,25.54,27.015,27.806,28.336,2.401,3.438,99.1%
800,25,0.8,0.6,8.113,8.577,-4.184,21.958,5.967,3.804,12.684,17.417,19.854,1.949,2.773,82.5%
1000,25,0.4,0.6,26.947,26.929,17.506,30.016,0.837,26.402,27.485,28.222,28.935,2.626,3.357,100.0%
1000,25,0.6,0.6,30.005,30.714,-2.104,33.327,3.573,30.011,31.314,32.095,32.606,2.452,3.422,99.6%
1000,25,0.8,0.6,10.532,10.414,-4.169,28.008,7.761,4.613,16.603,23.098,26.218,1.939,2.952,83.9%
