T,num_series,coint_frac,num_of_rw,SADF_mean,SADF_median,SADF_min,SADF_max,SADF_std,SADF_p25,SADF_p75,SADF_p95,SADF_p99,crit_95,crit_99,power
300,5,0.4,0.4,4.33,4.126,-3.253,12.662,2.994,2.027,6.618,9.393,10.788,2.977,3.702,63.5%
300,5,0.6,0.4,3.511,3.599,-3.253,11.936,2.889,1.355,5.705,8.01,9.386,2.552,3.37,62.1%
300,5,0.8,0.4,1.505,1.783,-3.054,7.966,2.624,-0.461,3.51,5.496,6.632,1.596,2.363,52.7%
500,5,0.4,0.4,16.988,18.201,-1.252,21.184,3.862,16.795,19.023,19.955,20.49,2.644,3.557,97.9%
500,5,0.6,0.4,12.007,13.244,-3.888,20.086,5.008,9.337,15.876,18.007,18.777,2.5,3.264,92.8%
500,5,0.8,0.4,6.72,7.031,-3.812,14.167,2.96,5.102,8.774,10.892,11.888,1.669,2.895,94.2%
800,5,0.4,0.4,23.926,24.007,7.354,26.616,1.273,23.474,24.552,25.285,25.981,2.605,3.563,100.0%
800,5,0.6,0.4,26.153,26.209,2.092,29.726,1.11,25.653,26.742,27.531,28.059,2.473,3.527,99.9%
800,5,0.8,0.4,16.268,16.977,-4.553,24.17,4.38,13.976,19.414,21.811,22.909,2.276,3.37,99.1%
1000,5,0.4,0.4,27.184,27.199,24.832,29.676,0.778,26.659,27.676,28.504,29.115,2.401,3.307,100.0%
1000,5,0.6,0.4,29.608,29.829,-0.887,32.655,2.238,29.269,30.35,31.175,31.666,2.426,3.678,99.8%
1000,5,0.8,0.4,15.869,17.138,-4.623,29.144,7.556,11.074,21.742,25.991,27.687,1.795,3.007,93.5%
300,5,0.4,0.6,4.497,4.257,-3.253,12.552,3.114,2.036,6.933,9.78,11.131,2.888,3.693,65.4%
300,5,0.6,0.6,3.326,3.478,-3.253,11.338,2.905,1.059,5.427,8.066,9.35,2.442,3.496,61.5%
300,5,0.8,0.6,1.071,1.245,-3.054,7.424,2.545,-0.918,2.999,5.102,6.24,1.531,2.673,46.5%
500,5,0.4,0.6,16.68,18.176,-1.432,21.147,4.338,16.628,19.044,20.022,20.601,2.756,3.62,96.6%
500,5,0.6,0.6,10.386,11.369,-3.888,19.747,5.298,6.611,14.657,17.613,18.722,2.405,3.344,90.5%
500,5,0.8,0.6,5.149,5.632,-3.812,13.251,3.425,3.123,7.647,10.003,11.232,1.696,2.676,84.7%
800,5,0.4,0.6,24.09,24.321,0.296,26.671,2.01,23.786,24.86,25.585,26.123,2.611,3.498,99.8%
800,5,0.6,0.6,25.931,26.436,0.366,28.898,2.577,25.757,27.025,27.767,28.429,2.557,3.627,99.7%
800,5,0.8,0.6,12.068,12.861,-4.891,23.627,5.656,8.645,16.298,19.947,21.69,2.308,3.461,93.2%
1000,5,0.4,0.6,27.603,27.632,8.831,30.232,0.908,27.099,28.136,28.86,29.403,2.536,3.264,100.0%
1000,5,0.6,0.6,29.453,30.05,-0.269,32.673,3.233,29.395,30.657,31.518,32.014,2.534,3.468,99.7%
1000,5,0.8,0.6,11.916,12.106,-5.221,29.7,8.21,5.4,18.679,24.584,27.075,1.939,2.849,85.4%
