T,num_series,coint_frac,num_of_rw,SADF_mean,SADF_median,SADF_min,SADF_max,SADF_std,SADF_p25,SADF_p75,SADF_p95,SADF_p99,crit_95,crit_99,power
300,2,0.4,0.6,4.248,3.807,-2.406,13.616,2.931,2.064,6.31,9.554,11.538,3.206,3.911,58%
300,2,0.6,0.6,3.196,3.03,-2.845,11.095,2.619,1.145,5.143,7.7,9.055,2.91,3.853,52%
300,2,0.8,0.6,1.887,2.197,-2.761,7.942,2.395,0.215,3.68,5.421,6.394,1.399,2.561,62%
500,2,0.4,0.6,18.174,18.923,-0.047,21.531,3.013,18.074,19.521,20.394,20.973,2.583,3.416,99%
500,2,0.6,0.6,14.528,15.547,-1.237,20.365,3.974,12.891,17.307,18.938,19.685,2.782,3.691,98%
500,2,0.8,0.6,8.414,8.632,-2.739,15.133,2.577,6.905,10.275,12.102,13.6,1.721,2.787,99%
800,2,0.4,0.6,24.494,24.507,2.236,27.355,1.02,23.984,25.027,25.807,26.282,2.971,3.704,100%
800,2,0.6,0.6,26.538,26.521,23.808,29.336,0.819,25.984,27.113,27.861,28.418,2.469,3.418,100%
800,2,0.8,0.6,18.715,19.253,-3.17,25.126,3.25,17.039,21.026,23.013,23.887,2.201,3.301,100%
1000,2,0.4,0.6,27.734,27.728,25.113,30.484,0.778,27.214,28.221,29.082,29.59,2.4,3.387,100%
1000,2,0.6,0.6,30.633,30.619,27.673,33.202,0.801,30.073,31.147,31.982,32.577,2.293,3.172,100%
1000,2,0.8,0.6,22.421,23.731,-3.456,31.779,5.735,19.73,26.572,28.913,30.208,1.453,2.521,99%
