T,num_series,coint_frac,num_of_rw,SADF_mean,SADF_median,SADF_min,SADF_max,SADF_std,SADF_p25,SADF_p75,SADF_p95,SADF_p99,crit_95,crit_99,power,delta
500,15,0.4,0.6,7.627,7.775,-3.484,18.103,4.683,3.833,11.511,14.736,16.218,2.538,3.31,0.821,0.01
500,15,0.4,0.6,11.268,12.64,-2.098,20.27,5.406,7.37,15.843,17.877,18.728,2.538,3.31,0.8995,0.012
500,15,0.4,0.6,12.212,14.063,-3.484,19.874,5.577,8.671,16.701,18.474,19.088,2.538,3.31,0.909,0.0125
500,15,0.4,0.6,13.289,15.478,-2.114,20.373,5.48,10.567,17.393,18.758,19.457,2.538,3.31,0.9195,0.013
500,15,0.4,0.6,15.77,17.704,-1.523,21.445,4.829,15.05,18.728,19.764,20.368,2.538,3.31,0.964,0.015
500,15,0.4,0.6,18.643,19.158,-1.539,21.775,2.715,18.513,19.775,20.564,21.072,2.538,3.31,0.9895,0.02
500,15,0.4,0.6,4.267,4.017,-3.378,14.87,3.187,1.727,6.54,9.834,11.652,2.538,3.31,0.666,0.008
500,15,0.4,0.6,3.695,3.457,-3.472,13.805,2.792,1.556,5.664,8.584,10.619,2.538,3.31,0.6285,0.0075
500,15,0.4,0.6,3.069,2.793,-3.107,10.784,2.503,1.239,4.687,7.435,9.141,2.538,3.31,0.54,0.007
500,15,0.4,0.6,1.562,1.541,-3.484,7.227,1.632,0.44,2.706,4.192,5.254,2.538,3.31,0.282,0.005
500,15,0.4,0.6,0.625,0.678,-3.484,4.631,1.273,-0.213,1.494,2.621,3.365,2.538,3.31,0.059,0.001
