T,num_series,coint_frac,num_of_rw,SADF_mean,SADF_median,SADF_min,SADF_max,SADF_std,SADF_p25,SADF_p75,SADF_p95,SADF_p99,crit_95,crit_99,power,delta
500,2,0.4,0.6,10.179,11.108,-1.948,18.693,4.36,7.371,13.541,15.936,16.931,2.495,3.27,0.921,0.01
500,2,0.4,0.6,14.45,15.927,-0.991,20.068,4.316,12.995,17.416,18.767,19.51,2.495,3.27,0.967,0.012
500,2,0.4,0.6,15.468,16.889,-1.428,21.169,4.102,14.578,18.081,19.188,19.908,2.495,3.27,0.975,0.0125
500,2,0.4,0.6,16.212,17.439,-1.141,21.195,3.8,15.642,18.43,19.551,20.251,2.495,3.27,0.9815,0.013
500,2,0.4,0.6,18.096,18.849,-0.873,21.839,3.034,17.969,19.514,20.438,20.94,2.495,3.27,0.9875,0.015
500,2,0.4,0.6,19.38,19.441,1.741,22.383,1.171,18.888,20.001,20.792,21.284,2.495,3.27,0.9995,0.02
500,2,0.4,0.6,5.551,5.67,-2.786,15.482,3.39,2.874,8.198,10.926,12.501,2.495,3.27,0.782,0.008
500,2,0.4,0.6,4.67,4.752,-2.786,13.498,2.922,2.391,6.787,9.53,10.872,2.495,3.27,0.7385,0.0075
500,2,0.4,0.6,3.917,3.741,-2.442,13.018,2.722,1.905,5.926,8.459,10.071,2.495,3.27,0.674,0.007
500,2,0.4,0.6,1.608,1.614,-2.786,7.174,1.653,0.445,2.726,4.3,5.478,2.495,3.27,0.2985,0.005
500,2,0.4,0.6,0.545,0.529,-2.786,4.546,1.196,-0.271,1.38,2.507,3.336,2.495,3.27,0.052,0.001
