T,num_series,coint_frac,num_of_rw,SADF_mean,SADF_median,SADF_min,SADF_max,SADF_std,SADF_p25,SADF_p75,SADF_p95,SADF_p99,crit_95,crit_99,power,delta
500,25,0.4,0.6,8.032,8.46,-2.888,17.25,4.616,4.351,11.807,14.891,16.088,2.564,3.442,0.8385,0.01
500,25,0.4,0.6,11.945,13.677,-2.19,19.341,5.142,8.633,15.996,17.606,18.35,2.564,3.442,0.9235,0.012
500,25,0.4,0.6,13.048,14.96,-2.607,20.033,4.975,10.505,16.665,18.141,18.946,2.564,3.442,0.9395,0.0125
500,25,0.4,0.6,13.691,15.523,-1.841,20.09,4.839,11.801,17.149,18.313,19.027,2.564,3.442,0.946,0.013
500,25,0.4,0.6,16.012,17.507,-1.079,20.336,4.082,15.649,18.336,19.302,19.78,2.564,3.442,0.98,0.015
500,25,0.4,0.6,18.457,18.674,-0.209,21.153,1.801,18.039,19.263,20.012,20.4,2.564,3.442,0.996,0.02
500,25,0.4,0.6,4.419,4.244,-3.433,13.268,3.251,1.828,6.754,10.246,11.668,2.564,3.442,0.67,0.008
500,25,0.4,0.6,3.742,3.41,-2.573,14.72,2.885,1.553,5.707,8.996,10.414,2.564,3.442,0.608,0.0075
500,25,0.4,0.6,3.324,3.062,-2.794,12.683,2.607,1.389,5.102,7.97,9.33,2.564,3.442,0.566,0.007
500,25,0.4,0.6,1.629,1.626,-2.967,6.464,1.52,0.587,2.654,4.212,5.177,2.564,3.442,0.269,0.005
500,25,0.4,0.6,0.546,0.619,-3.524,4.696,1.229,-0.274,1.418,2.536,3.174,2.564,3.442,0.048,0.001
