T,num_series,coint_frac,num_of_rw,SADF_mean,SADF_median,SADF_min,SADF_max,SADF_std,SADF_p25,SADF_p75,SADF_p95,SADF_p99,crit_95,crit_99,power,delta
300,25,0.4,0.6,2.076,2.02,-3.246,7.454,1.747,0.818,3.243,5.149,6.281,2.794,3.633,0.328,0.01
300,25,0.4,0.6,2.653,2.441,-3.246,10.318,2.173,1.084,4.151,6.553,7.862,2.794,3.633,0.444,0.012
300,25,0.4,0.6,2.817,2.625,-3.246,9.648,2.286,1.189,4.249,7.024,8.369,2.794,3.633,0.4685,0.0125
300,25,0.4,0.6,3.132,2.833,-3.246,10.949,2.458,1.294,4.855,7.51,9.134,2.794,3.633,0.507,0.013
300,25,0.4,0.6,4.235,3.975,-3.029,12.341,3.123,1.765,6.543,9.711,11.027,2.794,3.633,0.63,0.015
300,25,0.4,0.6,7.915,8.728,-2.461,16.384,4.302,4.46,11.666,13.549,14.32,2.794,3.633,0.8235,0.02
300,25,0.4,0.6,1.546,1.55,-2.767,6.77,1.454,0.517,2.521,3.964,4.912,2.794,3.633,0.196,0.008
300,25,0.4,0.6,1.48,1.516,-3.246,6.683,1.442,0.493,2.459,3.808,4.626,2.794,3.633,0.189,0.0075
300,25,0.4,0.6,1.338,1.371,-3.217,5.196,1.419,0.389,2.282,3.681,4.509,2.794,3.633,0.157,0.007
300,25,0.4,0.6,1.161,1.183,-3.246,5.035,1.34,0.264,2.08,3.338,4.137,2.794,3.633,0.1095,0.005
300,25,0.4,0.6,0.857,0.863,-3.246,5.068,1.276,0.037,1.736,2.867,3.703,2.794,3.633,0.059,0.001
