T,num_series,coint_frac,num_of_rw,SADF_mean,SADF_median,SADF_min,SADF_max,SADF_std,SADF_p25,SADF_p75,SADF_p95,SADF_p99,crit_95,crit_99,power,delta
500,5,0.4,0.6,8.386,8.927,-2.615,17.537,4.681,4.582,12.218,15.068,16.45,2.579,3.243,0.84,0.01
500,5,0.4,0.6,12.051,13.648,-2.425,20.571,5.331,8.582,16.361,18.125,19.017,2.579,3.243,0.914,0.012
500,5,0.4,0.6,13.401,15.234,-2.407,20.875,5.167,10.989,17.31,18.788,19.56,2.579,3.243,0.936,0.0125
500,5,0.4,0.6,14.123,16.114,-2.224,20.278,5.119,12.047,17.802,19.108,19.732,2.579,3.243,0.9445,0.013
500,5,0.4,0.6,16.748,18.243,-1.239,21.333,4.205,16.6,19.083,19.976,20.776,2.579,3.243,0.9765,0.015
500,5,0.4,0.6,18.984,19.351,0.026,23.009,2.338,18.753,19.981,20.778,21.368,2.579,3.243,0.995,0.02
500,5,0.4,0.6,4.628,4.488,-2.371,13.732,3.255,2.043,6.952,10.323,11.804,2.579,3.243,0.697,0.008
500,5,0.4,0.6,3.927,3.695,-3.633,14.426,2.89,1.728,5.97,8.993,10.986,2.579,3.243,0.6405,0.0075
500,5,0.4,0.6,3.36,3.18,-2.694,11.476,2.515,1.454,5.124,7.622,9.329,2.579,3.243,0.584,0.007
500,5,0.4,0.6,1.74,1.734,-3.867,6.758,1.646,0.609,2.855,4.445,5.684,2.579,3.243,0.3125,0.005
500,5,0.4,0.6,0.758,0.778,-3.77,5.454,1.241,-0.067,1.576,2.756,3.539,2.579,3.243,0.0655,0.001
