T,num_series,coint_frac,num_of_rw,SADF_mean,SADF_median,SADF_min,SADF_max,SADF_std,SADF_p25,SADF_p75,SADF_p95,SADF_p99,crit_95,crit_99,power,delta
300,2,0.4,0.6,2.146,2.119,-2.93,7.637,1.696,1.019,3.277,5.031,6.214,3.201,3.911,27%,0.01
300,2,0.4,0.6,2.776,2.64,-2.398,9.294,2.017,1.382,3.999,6.363,8.055,3.201,3.911,38%,0.012
300,2,0.4,0.6,3.013,2.795,-2.851,10.59,2.182,1.423,4.477,6.948,8.67,3.201,3.911,43%,0.0125
300,2,0.4,0.6,3.128,2.889,-2.93,10.855,2.261,1.475,4.586,7.306,8.875,3.201,3.911,44%,0.013
300,2,0.4,0.6,4.357,3.953,-2.43,12.613,3.019,1.961,6.513,9.775,11.432,3.201,3.911,59%,0.015
300,2,0.4,0.6,8.151,8.656,-1.775,16.537,4.379,4.336,11.895,14.263,15.322,3.201,3.911,82%,0.02
300,2,0.4,0.6,1.786,1.795,-2.868,6.216,1.49,0.717,2.878,4.201,5.123,3.201,3.911,18%,0.008
300,2,0.4,0.6,1.72,1.775,-2.93,6.594,1.474,0.709,2.742,4.106,4.877,3.201,3.911,15%,0.0075
300,2,0.4,0.6,1.686,1.75,-2.93,5.87,1.464,0.663,2.785,3.97,4.761,3.201,3.911,16%,0.007
300,2,0.4,0.6,1.491,1.555,-2.857,5.74,1.397,0.546,2.454,3.743,4.542,3.201,3.911,11%,0.005
300,2,0.4,0.6,1.24,1.278,-2.781,5.326,1.304,0.36,2.144,3.27,4.099,3.201,3.911,6%,0.001
