iter	Passed	Remaining
293	13220	3687
294	13265	3642
295	13308	3596
296	13356	3552
297	13401	3507
298	13448	3463
299	13491	3417
300	13536	3372
301	13579	3327
302	13624	3282
303	13667	3236
304	13710	3191
305	13756	3146
306	13801	3101
307	13847	3057
308	13893	3012
309	13937	2967
310	13984	2922
311	14028	2877
312	14073	2832
313	14119	2787
314	14161	2742
315	14204	2696
316	14249	2652
317	14292	2606
318	14338	2562
319	14381	2516
320	14426	2471
321	14471	2426
322	14516	2381
323	14560	2336
324	14603	2291
325	14648	2246
326	14689	2201
327	14736	2156
328	14782	2111
329	14827	2066
330	14872	2021
331	14918	1977
332	14963	1932
333	15008	1887
334	15055	1842
335	15099	1797
336	15145	1752
337	15191	1707
338	15234	1662
339	15280	1617
340	15325	1572
341	15370	1528
342	15415	1483
343	15461	1438
344	15505	1393
345	15551	1348
346	15594	1303
347	15641	1258
348	15685	1213
349	15730	1168
350	15774	1123
351	15823	1078
352	15868	1033
353	15913	988
354	15957	943
355	16003	899
356	16048	854
357	16094	809
358	16139	764
359	16185	719
360	16231	674
361	16276	629
362	16322	584
363	16364	539
364	16406	494
365	16452	449
366	16496	404
367	16540	359
368	16586	314
369	16632	269
370	16673	224
371	16719	179
372	16763	134
373	16812	89
374	16856	44
375	16899	0
