Date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2006_4,182.52,219.67,320.1,192.3,273.38,273.64,193.9,218.79,297.76,307.78,198.48,213.89,257.16,208.17,160.12,194.88,195.49,189.1,212.69,210.79,261.81,239.63,190.27,247.71,182.21,197.1,296.47,196.39,265.94,228.1,254.19,231.48,215.15,195.35,200.32,172.7,184.82,324.84,196.46,231.61,197.09,214.87,195.81,181.94,297.03,200.29,245.56,268.36,184.52,223.88,291.09
2007_1,182.91,223.31,317.86,192.21,272.57,272.85,196.63,217.54,300.25,305.58,199.26,217.64,259.43,212.2,160.43,196.74,197.55,189.53,216.04,209.64,263.11,237.4,187.03,249.57,184.89,196.61,300.35,197.26,263.37,227.83,255.48,234.23,214.95,197.37,203.01,172.71,189.87,332.97,198.29,227.48,198.09,216.5,197.79,184.8,306.88,198.31,246.9,274.78,191.83,224.6,293.32
2007_2,183.16,225.96,310.49,194.26,266.05,272.97,194.74,217.91,289.74,300.92,200.31,215.48,262.29,209.5,159.45,197.26,198.67,188.96,215.31,209.78,257.51,237.28,180.61,247.23,185.93,194.5,308.38,197.2,258.39,224.64,254.66,236.29,216.93,198.13,204.47,168.38,188.52,334.86,199.6,223.62,200.99,217.35,197.69,186.29,315.39,200.42,246.74,276.21,189.09,222.61,299.91
2007_3,183.17,223.9,296.03,194.4,251.77,271.81,194.29,218.1,289.96,286.69,197.47,212.23,260.28,207.52,158.71,198.43,199.52,188.28,214.59,209.88,250.87,233.78,171.42,243.19,185.12,191.06,310.35,196.93,247.73,219.93,249.42,235.59,215.8,199.89,206.95,164.06,192.19,331.13,197.87,218.46,200.7,219.16,196.18,187.53,317.34,199.75,243.44,276.78,191.72,220.01,304.22
2007_4,180.69,222.54,279.54,193.29,233.49,267.49,192.07,214.34,282.6,274.94,193.93,208.51,259.22,204.25,156.47,197.07,198.46,187.27,214.46,208.66,244.8,229.93,162.22,237.19,185.71,185.75,312.9,195.77,234.81,216.88,244.42,234.68,214.81,198.67,206.53,159.74,193.32,327.75,196.3,212.67,199.37,221.09,194.03,188.48,313.33,199.23,236.05,274.56,190.57,217.93,302.33
2008_1,178.93,219.24,262.12,189.72,212.85,263.67,188.72,211.7,283.14,255.73,189.12,207.21,259.21,197.22,156.04,197.34,197.11,185.74,212.52,206.51,238.33,227.33,153.01,233.2,179.14,182.2,312.04,193.25,216.9,212.5,239.3,233.9,212.43,198.58,209.05,155.85,192.35,321.98,194.13,203.53,200.42,222.54,191.55,187.93,311.6,196.12,220.19,269.53,190.4,215,304.44
2008_2,177.86,222.89,243.37,188.25,193.74,262.65,185.56,206.97,269.78,234.64,183.25,205.85,249.35,193.17,152.13,195.77,196.75,184.17,211.62,203.51,227.65,220.7,145.18,226.33,178.76,178.77,308.84,191.62,197.5,207.54,231.46,231.44,209.62,197.09,210.29,152.4,191.86,316.47,192.46,195.21,198.2,222.07,188.77,187.44,304.47,194.57,213.65,264.97,191.11,212.55,299.31
2008_3,175.62,220.77,223.28,188.08,180.55,259.36,181.83,202.26,263.96,216.34,175.46,196.45,244.27,187.04,151.23,194.68,194.5,182.66,212.47,200.48,217.96,217.14,138.96,219.66,176.59,177.1,308.35,190.98,181.63,204.53,223.99,230.63,205.25,194.06,211.23,147.3,191.33,308.31,190.01,183.47,195.12,222.24,185.81,188.14,295.12,195.09,205.19,257.78,186.74,209.03,299.8
2008_4,171.48,223.82,201.09,184.94,167.85,253.04,176.28,197.46,258.99,202.36,165.98,202.35,235.12,178.72,143.12,195.24,193.98,179.23,209.78,193.33,207.66,215.49,125.58,210.93,173.84,169.01,298.8,190.45,161.8,196.6,216.63,223.74,201.21,189.98,210.71,139.71,187.13,297.62,186.38,177.66,189.3,220.51,180.35,186.04,284.22,191.76,194.37,247.96,188.1,203.19,300.26
2009_1,167.68,225.81,180.12,184.11,158.12,252.09,170.1,190.88,249.9,192.56,158.34,193.55,228.82,171.82,137.7,193.21,195.29,178.26,210.93,196.46,201.64,215.31,119.69,205.32,170.65,167.92,303.41,189.36,150.37,193,209.71,219.53,197.81,187.48,209.54,136.24,190.5,294.36,184.37,173.91,192.95,221.98,177.3,186.12,278.28,191.46,195.87,246.54,184.82,201.63,285.44
2009_2,166.17,215.88,171.73,183.22,153.81,254.08,168.24,190.31,248.62,186.97,154.99,180.69,224.88,167.74,139.04,192.81,192.88,178.03,210.04,193.54,194.01,213.32,114.63,203.06,170.18,167.45,297.71,190.57,141.45,191.5,203.51,217.97,196.99,186.85,213.9,138.09,192.24,283.01,183.19,170.17,189.87,222.5,176.89,185.97,267.67,188.02,192.41,237.82,187.06,199.49,289.71
2009_3,165.89,214.69,172.99,183.5,155.51,257.89,168.06,187.5,248.62,184.82,155.14,183.33,218.09,165.82,139.49,194.31,193.32,178.38,210.29,190.35,190.65,213.37,114.09,203.18,169.11,167.73,296.99,191.69,132.64,189.79,200.81,217.24,197.46,186.23,214.21,140.05,192.36,277.46,182.96,171.19,189.7,219.58,177.49,186.16,264.81,186.55,194.65,232.97,185.78,198.87,285.95
2009_4,165.19,215.16,174.05,188.05,158.03,259.5,169.18,187.87,247.13,183.78,155.07,179.54,211.86,164.78,140.79,194.14,194.69,179.37,210.63,189.36,188.41,213.71,114.45,204.6,168.42,170.92,295.68,193.16,134.89,191.72,199.28,217.18,197.72,186.07,215.35,141.59,191.42,275.77,183.78,170.5,185.8,223.03,177.76,187.38,262.67,184.89,197.25,233.07,183.23,199.48,281.6
2010_1,160.75,213.98,170.95,178.07,158.37,259.11,163.67,184.82,247.84,179.85,151.55,178.42,203.87,162.27,139.14,193.54,190.77,178.17,210.72,187.45,183.61,211.39,114.53,204.12,167.16,165.82,294.26,189.75,131.92,188.97,196.06,215.59,196.51,183.93,221.9,139.89,191.12,268.93,181.53,170.53,184.25,222.74,173.83,187.28,256.3,185.4,197.46,231.9,183.59,198.1,279.03
2010_2,159.23,220.16,168.6,181.87,158.05,256.35,165.45,182.43,248.91,178.71,151.03,178.65,198.55,161.31,140.49,194.74,193.77,178.26,210,186.53,182.35,212.42,114.45,205.35,166.06,165.07,290.26,192.35,131.01,190.18,194.82,212.25,197.42,182.08,215.83,139.06,191.24,270.06,181.9,170.53,181.4,219.77,175.45,186.52,256.07,189.85,197.06,228.69,186.23,198.48,280.44
2010_3,154.3,221.21,161.53,176.68,154.43,251.07,158.19,174.85,247.66,169.98,144.23,172.74,188.35,154.25,135.34,189.13,189.58,172.85,207.87,185.62,176.5,207.91,110.81,198.98,166.49,155.78,287.18,190.1,127.8,187.33,187.42,206.73,190.3,177.86,215.08,130.78,190.15,257.23,174.36,163.58,177.87,218.43,169.73,185.14,249.82,180.8,193.54,223.92,187.12,192.47,274.41
2010_4,152.7,219.98,156.44,175.34,152.38,251.43,158.36,171.69,247.25,168.77,140.31,178.61,183.49,153.66,136.97,192.77,188.54,173.69,207.06,185.84,174.82,207.49,109.98,196.3,164.09,153.91,277.22,186.76,124.63,184.31,184.65,204.09,191.78,177.14,222.3,131.58,190.46,251.49,174.3,163.37,179.06,216.35,169.78,183.02,247.88,184.24,192.66,217.84,187.01,190.48,277.1
2011_1,151.07,225.47,153.96,177.21,150.95,248.42,157.53,168.57,247.42,164.72,138.33,158.82,176.9,150.11,135.84,187.73,184.53,171.88,203.84,181.24,170.91,203.86,107.46,191.27,162.06,150.8,272.52,188.37,119.1,180.67,181.59,199.57,189.97,172.52,221.8,129.32,184.41,244.86,171.68,161.08,170.3,218.09,169.6,182.52,237.97,183.86,190.16,211.52,184.14,187.23,278.44
2011_2,149.64,221.04,151.53,173.13,148.83,244.67,155.79,163.7,253.31,165.37,135.1,169.37,171.71,147.27,133.65,189.84,183.84,171.04,203.68,182.41,168.58,204.38,106.36,190.4,161.84,148.94,281.82,186.93,115,178.86,179.62,191.96,189.99,171.91,224.51,127.24,189.03,238.87,171.14,156.37,168.78,217.02,168.18,180.27,234.62,182.71,189.19,205.45,179.86,185.89,278.47
2011_3,148.19,224.43,151.71,174.84,147.88,247.4,153.44,162.14,261.65,165.62,132.22,173.18,173.11,146.63,134.75,190.78,184.63,171.31,202.99,181.74,168.7,204.6,109,192.2,161.94,150.12,280.88,189.01,113.28,179.08,178.3,195.6,190.48,172.17,227.84,127.75,186.18,242.59,170.73,158.69,169.92,219.07,168.51,181.41,237.4,181.4,190.09,203.18,182.76,185.85,278.81
2011_4,145.43,222.35,156.17,177.8,147.72,247.41,151.26,157.03,261.35,166.35,130.69,165.46,174.6,144.89,135.48,191.52,185.03,171.14,202.52,182.03,167.49,202.48,109.45,192.91,162.05,146.83,284.77,189.66,111.33,177.97,176.15,193.54,189.29,171.85,231.22,127.95,189.76,243.23,169.27,155.57,173.18,222.05,167.43,182.58,237.08,183.34,190.72,200.96,182.17,184.47,275.93
2012_1,148.1,218.53,163.48,177.63,149.26,248.9,150.17,155.2,270.81,169.63,129.78,169.54,178.5,144.94,136.95,193.91,185.68,172.06,203.23,180.1,168.46,202.92,112.07,194.16,162.57,148.3,283.49,191.14,112.26,176.5,175.73,194.14,189.83,171.7,235.73,128.59,187.87,241.83,169.96,153.54,168.39,219.09,168.29,185.18,242.24,184.37,194.26,201.49,192.91,184.94,280.2
2012_2,145.96,222.14,172.95,181.79,153.3,258.05,151.36,157.7,275.75,172.69,131.92,177.07,186.55,144.05,135.79,193.42,187.01,172.22,204.25,178.51,171.91,204.37,113.66,197.28,162.9,149.47,287.42,193.12,119.68,175.21,175.46,196.19,190.53,172,242.15,129.72,190.23,246.69,170.6,152.91,173.89,222.95,169.85,187.44,249.66,183.78,194.99,206.25,185.06,185.67,284.07
2012_3,146.97,226.44,180.94,180.74,158.28,263.6,149.81,160.8,284.03,175.18,134.95,176.41,192.73,142.8,134.68,195.11,190.77,172.04,207.03,179.4,173.17,206.98,115.38,201.25,162.62,150.18,288.71,193.85,124.77,177.13,175.21,198.5,191.06,172.74,246.43,130.28,193.7,255.24,170.43,153.63,173.03,225.36,170.1,189.66,253.86,187.03,196.46,209.98,186.36,186.63,289.21
2012_4,149.44,225.87,188.78,180.89,165.16,268.88,150.63,162.81,291.59,180.06,138.86,183.78,197.06,143.96,135.13,196.72,190.92,173.62,205.72,182,175.02,209.94,119.3,205.5,162.58,152.11,298.06,197.89,131.74,184.05,176.14,197.13,192.42,173.01,252.82,131.58,195.7,256.64,171.89,157.43,172.41,226.54,172.36,192.34,261.67,187.2,198.9,216.47,191.91,188.59,291.29
