Date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1995_4,121.5,117.78,121.75,123.28,85.07,147.5,90.67,99.25,93.1,110.11,114.59,94.93,136.87,118.93,120.71,128.34,123.29,123.37,124.53,95.36,101.75,99.82,125,118.7,119.31,115.36,152.65,130.35,113.2,93.54,101.21,136.33,98.25,118.89,123.78,122.5,118.02,148.25,104.94,91.08,114.84,132.75,122.61,112.28,163.32,98.16,105.06,120.14,126.47,130.07,142.41
1996_1,122.53,120.46,123.85,124.03,85.06,149.52,90.89,99.64,90.97,110.63,116.04,91.57,136.9,120.09,122.14,130.03,124.39,123.63,126.09,98.06,102.11,101.09,127.5,119.93,120.1,116.28,153.53,131.55,113.87,94.6,101.44,137.04,99.69,120.68,123.3,124.08,119.02,150.88,105.21,90.94,117.07,134.02,123.62,112.9,167.71,101.86,105.72,120.6,128.1,130.77,143.9
1996_2,124.46,120.32,124.92,125.3,84.49,151.35,91.2,99.41,92.21,111.42,117.04,94.01,137.26,120.96,123.82,130.91,125.87,125.16,127.38,97.43,101.97,101.99,129.97,121.58,121.5,118.13,156.13,133.91,114.54,94.67,102.06,138.46,98.91,121.63,124.41,125.47,120.21,154.07,105.57,91,118.14,134.45,125.16,113.44,170.05,100.61,106.15,121.35,126.33,131.62,144.53
1996_3,124.88,119.85,126.17,124.96,84.66,152.92,90.64,100.1,90.68,111.95,118.13,90.22,138.05,121.37,125.01,132.23,126.68,126.81,128.51,97.3,102.18,102.95,132.29,122.24,123.28,118.57,157.85,135.59,114.69,95.25,101.48,137.89,98.96,123.4,125.88,126.36,121.08,156.35,105.95,90.67,118.74,137.7,126.86,113.98,172.73,98.25,106.5,122.2,128.78,132.27,145.34
1996_4,125.54,123.62,126.68,125.62,85.18,155.12,90.43,100.19,92.85,112.24,118.69,88.91,139.27,122.18,125.75,132.94,127.4,128.02,128.86,96.52,102.12,104.26,134.36,124.08,124.27,120.13,157.58,136.54,115.28,95.21,101.95,137.56,98.93,124.11,126.37,127.33,121.59,158.98,105.91,90.05,122.13,138.02,127.67,114.23,174.81,98.47,106.89,122.73,127,133.15,145.42
1997_1,127.45,122.41,128.01,127.35,84.81,156.58,91.07,100.41,86.15,113.18,120.48,86.31,139.2,122.46,126.04,133.94,127.83,129.36,130.95,98.33,102.44,104.61,136.53,125.17,124.72,121.65,160.78,138.64,116.32,96.89,102.55,138.54,99.35,125.53,127.36,128.04,122.92,161.89,106.56,91.36,122.04,137.01,129.1,114.8,175.38,98.03,106.91,123.94,126.72,134.89,146.14
1997_2,127.48,123.74,129.2,127.47,86.29,158.17,91.83,100.99,93.84,113.66,121.38,83.5,139.66,123.15,127.11,135.04,129.93,130.14,132.31,97.94,102,106.69,138.59,125.87,126.03,122.23,159.64,140.69,116.23,97.55,102.92,139.78,100.32,127.19,127.07,128.99,123.49,162.79,106.28,90.88,122.5,140,130.35,115.67,177.31,99.74,107.46,125.68,131.46,135.9,148.38
1997_3,128.89,124.54,130.46,127.91,87.4,160.04,92.28,101.76,89,114.06,122.83,84.59,140.82,123.78,127.87,135.84,131.81,131.39,133.94,99.06,102.38,107.84,140.21,127.35,126.63,123.39,158.57,141.64,117.41,98.84,103.58,138.2,100.45,127.76,129.88,130.08,124.12,164.75,106.65,91.09,123.53,141.7,130.63,116.28,178.48,101.34,108.25,128.01,127.82,137,149.46
1997_4,129.28,126.2,131.86,129.15,88.93,162.29,93.22,100.86,93.11,115.51,124.39,84.01,141.09,124.36,128.84,137.4,133.12,131.87,135.76,101.37,103.13,110.14,142.55,128.35,127.77,125.09,160.66,144.16,117.29,100.46,104.86,138.97,101.24,129.37,129.16,130.87,125.23,165.86,107.35,92.37,125.29,142.35,131.64,117.67,179.46,100.41,109.12,129.61,130.88,138.42,149.49
1998_1,130.06,126.32,133.32,129.17,91.07,164.82,93.88,102.94,95,116.95,126.26,83.61,142.24,125.41,129.85,139.32,135.75,132.96,137.28,101.74,104.19,112.55,144.63,130.46,129.34,126.37,162.34,146.89,116.87,102.77,105.84,139.39,102.07,130.44,128.82,132.5,126.61,166.3,107.82,92.9,126.56,145.93,133.14,119.57,181.63,100.86,109.55,132.31,130.16,139.84,151.59
1998_2,131.83,128.16,135.32,129.24,93.68,167.57,95.36,103.67,97.75,118.13,128.26,86.03,143.05,126.08,131.01,141,136.28,135.24,139.3,102.94,104.61,115.31,146.98,132.61,130.56,127.52,162.52,146.48,117.94,105.51,107.11,139.9,103.98,131.64,131.88,133.44,128.49,168.9,108.9,94.1,127.97,145.71,134.88,121.01,183.72,101.7,110.33,135.04,133.48,141.64,152.68
1998_3,133.3,129.17,137.12,131.81,95.74,170.46,97.21,105.38,100.23,119.42,130.11,84.8,143.82,127.43,131.94,142.49,138.67,136.23,140.7,104.17,104.93,118.33,149.42,135.7,132.08,129.21,163.4,147.4,118.38,108.11,108.2,141.33,105.88,133.16,133.67,134.63,129.28,170.1,109.26,95.09,129.9,145.44,136.19,123.05,183.55,102.03,111,136.59,132.78,143.66,154.07
1998_4,135.16,131.37,138.78,132.37,98.03,174.63,99.26,105.69,104.16,120.71,132.4,83.67,144.35,129.31,134.09,145.82,142.61,138.35,143.27,106.43,106.64,120.99,152.23,138.97,133.54,130.93,164.79,153.49,119.49,110.59,109.66,142.95,107.67,134.63,136.1,136.49,132.09,171.55,110.7,96.41,131.81,146.26,137.62,124.84,186.32,103.53,112.47,139,134.03,145.47,153.97
1999_1,136.02,132.39,141.06,133.77,100.52,178.63,101.61,107.37,105.02,122.35,134.89,84.54,146.1,130.91,134.83,146.16,144.78,140.34,144.91,108.32,108.43,124.25,154.76,141.82,134.9,132.85,165.23,153.79,120.64,112,111.7,143.89,109.36,136,135.61,138.33,133.48,173.01,111.7,98.51,133.14,150.88,139.49,126.66,186.75,105.01,114.19,140.71,135.32,147.18,155.64
1999_2,137.21,132.4,142.94,134.63,102.86,183.54,103.38,109.61,107.08,124.33,136.94,82.25,147.46,132.56,135.77,148.73,145.92,141.87,146.55,110.42,109.82,128.07,157.22,146.19,136.81,135.03,168.19,154.85,120.77,117.21,113.82,142.84,111.88,137.59,135.9,139.67,134.76,174.8,112.7,100.02,135.92,151.26,140.06,128.8,187.99,106.02,115.37,143.09,134.82,149.53,155.42
1999_3,137.96,133.82,145.19,135.63,105.25,189.43,105.42,110.34,110.76,125.88,139.75,83.26,147.98,134.47,137.72,149.96,147.27,143.88,147.74,113.14,110.99,132.02,159.7,149.46,137.64,137.19,171.11,156.16,122.21,118.82,116.11,143.84,114.41,138.67,136.35,141.32,137.07,175.9,114.05,101.54,137.68,152.73,141.67,130.68,188.47,108.03,116.96,144.76,135.67,151.29,158.56
1999_4,139.42,131.92,146.93,136.5,108.2,193.59,107.62,112.08,112.56,128,141.77,86.11,149.62,136.32,137.87,151.78,147.61,145.16,147.49,115.5,113.12,135.7,162.31,153.1,138.59,139.01,171.73,156.51,123.36,122.3,118.22,145.4,116.86,140.42,135.97,142.58,137.63,176.83,115.04,104.76,138.95,154.24,143.21,133.04,190.04,110.7,118.4,147.1,136.46,153.54,160.45
2000_1,140.76,133.14,149.48,136.97,111.62,199.01,110.34,114.38,116.76,130.45,143.94,90.81,150.7,138.35,140.56,153.25,150.43,147.49,151.6,117.17,114.57,140.35,165.28,157.76,139.83,141.49,173.14,157.96,123.93,126.98,120.82,144.64,119.56,140.95,139.11,143.84,139.41,179.09,116.64,107.35,140.79,155.95,143.79,135.58,190.9,110.39,120.41,149.05,137.22,153.36,161.53
2000_2,141.37,135.54,151.3,139.18,114.98,204.1,113.26,116.08,121.46,132.73,146.75,89.95,150.82,140.6,140.99,154.68,151.73,148.21,152.36,119.88,117.04,145.67,168.18,162.11,140.85,143.7,174.54,159.64,125.84,131.39,123.9,145.37,121.92,142.7,139.4,145.38,140.59,179.38,118.11,111.49,143.04,158.59,145.21,137.66,191.71,114.63,122.63,150.08,137.85,155.55,164.58
2000_3,142.05,137,152.94,139.39,118.69,210.04,114.66,117.67,123.35,135.54,148.48,90.03,150.26,142.99,141.97,156.46,153.37,149.46,154.35,122.89,118.06,150.1,170.48,166.31,141.34,145.44,176.97,160.6,125.89,135.5,126.87,145.95,125.05,144.42,140.27,146.74,141.84,180.74,119.12,115.04,143.71,161,145.76,140.07,193.55,116.93,125.27,151.77,138.17,157.42,164.05
2000_4,142.52,137.34,155.54,140.73,123.53,215.67,117.4,119.76,127.9,138.76,150.83,92.76,153.78,145.22,142.16,156.91,154.13,150.62,154.47,125.82,119.72,156.03,172.45,171.28,141.84,147.81,177.63,161.71,128.02,142.61,130.02,144.89,128.33,145.47,138.06,147.91,143.38,183.49,120.93,117.6,145.01,160.93,146.43,142.07,193.35,119.69,128.32,153.85,137.78,159.49,168.64
2001_1,143.73,140.71,157.64,142.68,127.84,222.04,120.34,120.81,131.6,142.22,152.83,96.14,155.15,147.98,143.68,159.15,155.93,151.67,156.91,129.01,122.72,162.07,174.74,176.02,143.04,149.33,184.31,162.4,130.79,146.09,133.29,148.33,130.91,146.91,143.13,149.37,144.7,185.85,123.02,120.34,146.22,163.36,147.52,143.84,195.18,122.6,132.24,156.05,140.16,162.07,167.97
2001_2,144.39,143.18,160.25,143.17,131.24,225.53,123.29,121.82,136.48,145.97,154.91,98.42,156.95,150.45,144.41,160.3,158.3,153.3,157.17,132.9,124.91,167.2,176.53,180.92,143.94,152.33,184.36,164.34,133.34,151.27,136.74,149.11,134.27,147.92,142.64,150.68,146.47,188.08,125.09,125.55,147.62,164.82,148.18,145.5,195.8,125.68,135.24,157.5,137.81,163.87,170.68
2001_3,144.79,145.34,162.44,144.8,134.03,227.11,126.74,124.21,142.65,150.08,156.46,99.65,157.28,152.76,144.78,161.41,159.77,154.51,158.78,136.3,127.59,172.23,178.75,185.44,144.81,154.12,184.4,165.4,135.07,155.74,141.24,150.36,137.85,148.66,142.38,151.67,147.53,190.22,127.2,130.47,149.12,166.49,148.86,146.61,195.74,128.52,138.49,159.71,141.12,165.87,173.18
