iter	Passed	Remaining
142	1768	6160
143	1781	6147
144	1793	6133
145	1804	6119
146	1815	6102
147	1827	6088
148	1839	6073
149	1849	6054
150	1861	6039
151	1873	6025
152	1885	6012
153	1898	6002
154	1910	5990
155	1922	5976
156	1933	5960
157	1945	5946
158	1958	5936
159	1969	5920
160	1984	5915
161	2001	5918
162	2016	5912
163	2028	5901
164	2040	5887
165	2052	5872
166	2064	5860
167	2076	5846
168	2090	5837
169	2102	5825
170	2113	5810
171	2129	5805
172	2141	5792
173	2153	5779
174	2165	5765
175	2176	5750
176	2188	5738
177	2200	5724
178	2211	5707
179	2222	5693
180	2233	5675
181	2245	5661
182	2257	5649
183	2268	5635
184	2279	5618
185	2290	5603
186	2302	5589
187	2314	5575
188	2325	5560
189	2336	5546
190	2348	5533
191	2360	5521
192	2373	5508
193	2384	5495
194	2396	5480
195	2407	5466
196	2419	5452
197	2431	5439
198	2443	5426
199	2456	5415
200	2467	5401
201	2478	5386
202	2489	5372
203	2502	5360
204	2514	5348
205	2526	5334
206	2538	5321
207	2551	5310
208	2563	5299
209	2575	5286
210	2587	5272
211	2599	5260
212	2611	5247
213	2621	5230
214	2637	5225
215	2648	5210
216	2659	5197
217	2671	5183
218	2683	5171
219	2696	5159
220	2708	5148
221	2720	5134
222	2732	5121
223	2743	5107
224	2755	5094
225	2768	5083
226	2780	5071
227	2792	5057
228	2804	5045
229	2817	5033
230	2829	5021
231	2840	5008
232	2852	4995
233	2864	4982
234	2876	4969
235	2888	4957
236	2900	4944
237	2912	4931
238	2923	4916
239	2936	4906
240	2949	4895
241	2963	4886
242	2986	4892
243	3002	4885
244	3015	4873
245	3028	4862
246	3038	4847
247	3051	4835
248	3062	4821
249	3076	4811
250	3087	4797
251	3100	4785
252	3113	4774
253	3127	4764
254	3139	4752
255	3152	4740
256	3164	4728
257	3176	4715
258	3189	4704
259	3202	4692
260	3215	4681
261	3227	4668
262	3240	4657
263	3252	4644
264	3264	4632
265	3277	4620
266	3289	4607
267	3301	4595
268	3314	4583
269	3326	4571
270	3338	4558
271	3350	4545
272	3361	4531
273	3375	4520
274	3386	4507
275	3398	4494
276	3411	4482
277	3422	4468
278	3434	4456
279	3447	4444
280	3459	4432
281	3472	4420
282	3484	4407
283	3496	4395
284	3509	4383
285	3522	4371
286	3533	4358
287	3545	4345
288	3558	4334
289	3572	4323
290	3584	4311
291	3596	4298
292	3608	4285
293	3619	4272
294	3634	4262
295	3646	4250
296	3659	4238
297	3672	4227
298	3685	4215
299	3699	4204
300	3711	4192
301	3724	4181
302	3736	4168
303	3749	4156
304	3761	4144
305	3775	4133
306	3788	4121
307	3800	4109
308	3812	4096
309	3826	4085
310	3838	4073
311	3850	4060
312	3862	4047
313	3876	4037
314	3890	4026
315	3903	4014
316	3916	4003
317	3928	3989
318	3941	3978
319	3957	3970
320	3974	3961
321	3989	3952
322	4001	3939
323	4014	3927
324	4027	3915
325	4040	3903
326	4051	3890
327	4064	3878
328	4076	3866
329	4089	3854
330	4101	3840
331	4112	3827
332	4127	3817
333	4139	3804
334	4150	3791
335	4162	3778
336	4175	3766
337	4188	3754
338	4201	3742
339	4213	3730
340	4227	3719
341	4239	3706
342	4251	3694
343	4265	3682
344	4278	3670
345	4290	3658
346	4302	3645
347	4315	3633
348	4327	3620
349	4340	3609
350	4353	3597
351	4366	3584
352	4378	3572
353	4392	3560
354	4403	3547
355	4416	3535
356	4429	3523
357	4441	3511
358	4454	3498
359	4467	3486
360	4479	3474
361	4490	3460
362	4502	3448
363	4516	3436
364	4529	3425
365	4541	3412
366	4554	3400
367	4566	3387
368	4578	3374
369	4591	3362
370	4603	3349
371	4617	3338
372	4629	3326
373	4641	3313
374	4654	3301
375	4665	3288
376	4677	3275
377	4690	3263
378	4702	3250
379	4716	3239
380	4729	3227
381	4740	3214
382	4753	3202
383	4767	3190
384	4779	3178
385	4791	3165
386	4803	3152
387	4815	3140
388	4829	3128
389	4840	3115
390	4853	3103
391	4865	3090
392	4877	3077
393	4889	3065
394	4901	3052
395	4913	3039
396	4925	3027
397	4937	3014
398	4953	3004
399	4970	2994
400	4984	2983
401	4998	2971
402	5009	2958
403	5021	2945
404	5033	2933
405	5046	2921
406	5058	2908
407	5071	2896
408	5083	2883
409	5094	2870
410	5107	2857
411	5120	2846
412	5132	2833
413	5145	2821
414	5157	2808
415	5170	2796
416	5182	2783
417	5194	2771
418	5206	2758
419	5219	2746
420	5231	2733
421	5244	2721
422	5256	2709
423	5268	2696
424	5281	2684
425	5292	2671
426	5305	2658
427	5317	2646
428	5328	2633
429	5339	2620
430	5352	2608
431	5365	2595
432	5376	2582
433	5388	2569
434	5399	2557
435	5412	2544
436	5424	2532
437	5437	2520
438	5449	2507
439	5462	2495
440	5474	2482
441	5487	2470
442	5498	2457
443	5510	2445
444	5523	2432
445	5537	2420
446	5549	2408
447	5561	2395
448	5572	2382
449	5584	2370
450	5595	2357
451	5608	2345
452	5620	2332
453	5634	2320
454	5646	2308
455	5658	2295
456	5669	2282
457	5681	2270
458	5694	2257
459	5705	2245
460	5717	2232
461	5730	2220
462	5741	2207
463	5754	2195
464	5766	2182
465	5780	2170
466	5793	2158
467	5804	2145
468	5815	2132
469	5828	2120
470	5839	2107
471	5851	2094
472	5861	2082
473	5874	2069
474	5887	2057
475	5899	2044
476	5912	2032
477	5924	2020
478	5940	2009
479	5952	1996
480	5966	1984
481	5982	1973
482	5995	1961
483	6008	1948
484	6019	1936
485	6032	1923
486	6043	1910
487	6055	1898
488	6065	1885
489	6076	1872
490	6088	1860
491	6100	1847
492	6113	1835
493	6126	1823
494	6139	1810
495	6152	1798
496	6164	1786
497	6175	1773
498	6188	1760
499	6200	1748
500	6213	1736
501	6226	1723
502	6238	1711
503	6249	1698
504	6261	1686
505	6273	1673
506	6286	1661
507	6298	1649
508	6310	1636
509	6321	1623
510	6333	1611
511	6345	1598
512	6357	1586
513	6369	1573
514	6383	1561
515	6397	1549
516	6415	1538
517	6430	1527
518	6446	1515
519	6462	1503
520	6478	1492
521	6493	1480
522	6508	1468
523	6525	1456
524	6540	1445
525	6557	1433
526	6570	1421
527	6586	1409
528	6600	1397
529	6613	1385
530	6626	1372
531	6641	1360
532	6653	1348
533	6664	1335
534	6675	1322
535	6688	1310
536	6699	1297
537	6712	1285
538	6725	1272
539	6738	1260
540	6749	1247
541	6762	1235
542	6774	1222
543	6786	1210
544	6798	1197
545	6809	1184
546	6820	1172
547	6833	1159
548	6844	1146
549	6857	1134
550	6870	1122
551	6882	1109
552	6894	1097
553	6908	1084
554	6923	1072
555	6937	1060
556	6950	1048
557	6964	1035
558	6976	1023
559	6988	1010
560	6999	998
561	7012	985
562	7024	973
563	7036	960
564	7047	948
565	7059	935
566	7070	922
567	7082	910
568	7093	897
569	7106	885
570	7119	872
571	7131	860
572	7143	847
573	7156	835
574	7167	822
575	7177	809
576	7190	797
577	7201	784
578	7213	772
579	7225	759
580	7236	747
581	7249	734
582	7262	722
583	7275	710
584	7287	697
585	7300	685
586	7313	672
587	7325	660
588	7336	647
589	7347	635
590	7359	622
591	7370	610
592	7383	597
593	7396	585
594	7409	572
595	7421	560
596	7434	547
597	7445	535
598	7457	522
599	7469	510
600	7481	497
601	7492	485
602	7504	472
603	7516	460
604	7528	447
605	7541	435
606	7552	423
607	7565	410
608	7577	398
609	7590	385
610	7602	373
611	7614	360
612	7625	348
613	7637	335
614	7650	323
615	7661	310
616	7673	298
617	7685	286
618	7697	273
619	7709	261
620	7720	248
621	7733	236
622	7745	223
623	7757	211
624	7768	198
625	7779	186
626	7791	173
627	7803	161
628	7816	149
629	7829	136
630	7841	124
631	7853	111
632	7865	99
633	7878	86
634	7891	74
635	7907	62
636	7923	49
637	7935	37
638	7949	24
639	7963	12
640	7976	0
