T,num_series,coint_frac,num_of_rw,SADF,crit_95,crit_99
300,100,0.4,0.4,7.161,7.611,8.971
300,100,0.6,0.4,3.3816,3.482,4.603
300,100,0.8,0.4,3.5561,3.291,4.499
500,100,0.4,0.4,18.0232,4.226,5.332
500,100,0.6,0.4,2.5624,3.108,4.259
500,100,0.8,0.4,-2.081,3.047,4.185
800,100,0.4,0.4,23.8652,3.508,4.451
800,100,0.6,0.4,27.6845,3.121,4.259
800,100,0.8,0.4,21.108,2.624,3.639
1000,100,0.4,0.4,27.6011,3.203,4.146
1000,100,0.6,0.4,31.3846,3.148,4.143
1000,100,0.8,0.4,28.9339,2.238,3.622
300,100,0.4,0.6,4.7792,8.183,10.514
300,100,0.6,0.6,6.6453,4.229,5.403
300,100,0.8,0.6,-2.8963,3.494,4.901
500,100,0.4,0.6,15.0402,3.814,4.874
500,100,0.6,0.6,15.6278,3.434,4.388
500,100,0.8,0.6,7.9045,2.332,3.428
800,100,0.4,0.6,24.1707,3.665,4.757
800,100,0.6,0.6,26.1852,3.062,4.25
800,100,0.8,0.6,14.9407,2.478,3.733
1000,100,0.4,0.6,29.7136,3.098,4.039
1000,100,0.6,0.6,30.4517,3.06,4.003
1000,100,0.8,0.6,3.67,2.358,3.476
