T,num_series,coint_frac,num_of_rw,SADF,crit_95,crit_99
300,50,0.4,0.4,5.7045,3.673,4.79
300,50,0.6,0.4,2.9279,3.124,4.055
300,50,0.8,0.4,-2.7381,2.655,3.688
500,50,0.4,0.4,-1.8871,3.408,4.2
500,50,0.6,0.4,8.6507,2.961,4.002
500,50,0.8,0.4,-0.7496,2.128,3.409
800,50,0.4,0.4,24.4342,3.114,4.022
800,50,0.6,0.4,28.2333,2.617,3.677
800,50,0.8,0.4,6.225,1.954,2.989
1000,50,0.4,0.4,28.9644,2.991,3.984
1000,50,0.6,0.4,31.0398,2.847,3.943
1000,50,0.8,0.4,13.5459,1.672,2.507
300,50,0.4,0.6,-0.139,3.46,4.346
300,50,0.6,0.6,2.3542,2.665,3.684
300,50,0.8,0.6,-2.3975,2.499,3.601
500,50,0.4,0.6,16.9092,3.051,3.928
500,50,0.6,0.6,1.0053,3.224,4.297
500,50,0.8,0.6,5.3226,1.893,2.956
800,50,0.4,0.6,25.0516,3.121,4.015
800,50,0.6,0.6,24.0541,2.675,3.7
800,50,0.8,0.6,8.4715,2.445,3.679
1000,50,0.4,0.6,27.7317,3.424,4.294
1000,50,0.6,0.6,4.3293,2.668,3.632
1000,50,0.8,0.6,12.9389,2.326,3.411
