T,num_series,coint_frac,num_of_rw,SADF,crit_95,crit_99
300,10,0.4,0.4,0.75,2.719,3.538
300,10,0.6,0.4,2.8401,2.396,3.286
300,10,0.8,0.4,3.0681,1.68,2.614
500,10,0.4,0.4,18.839,2.545,3.22
500,10,0.6,0.4,14.1978,2.517,3.291
500,10,0.8,0.4,6.146,2.261,3.425
800,10,0.4,0.4,22.9635,2.709,3.583
800,10,0.6,0.4,25.8393,2.607,3.306
800,10,0.8,0.4,14.1226,2.162,3.306
1000,10,0.4,0.4,24.5055,3.12,4.215
1000,10,0.6,0.4,22.315,2.487,3.387
1000,10,0.8,0.4,22.6994,1.953,3.009
300,10,0.4,0.6,1.0345,3.007,3.937
300,10,0.6,0.6,6.4282,2.099,2.89
300,10,0.8,0.6,-1.4596,1.691,2.695
500,10,0.4,0.6,18.3946,2.598,3.398
500,10,0.6,0.6,9.6841,2.358,3.277
500,10,0.8,0.6,3.2533,1.459,2.59
800,10,0.4,0.6,23.4224,2.395,3.301
800,10,0.6,0.6,25.5523,2.569,3.455
800,10,0.8,0.6,14.4256,1.662,2.786
1000,10,0.4,0.6,27.2715,2.626,3.526
1000,10,0.6,0.6,29.5508,2.414,3.168
1000,10,0.8,0.6,15.896,2.254,3.418
