T,num_series,coint_frac,num_of_rw,SADF,crit_95,crit_99
300,5,0.4,0.4,1.4715,1.919,2.65
300,5,0.6,0.4,9.3669,2.135,3.134
300,5,0.8,0.4,5.3807,1.446,2.547
500,5,0.4,0.4,18.6602,2.052,2.782
500,5,0.6,0.4,2.03,2.485,3.465
500,5,0.8,0.4,5.761,2.296,3.361
800,5,0.4,0.4,25.3439,2.612,3.519
800,5,0.6,0.4,27.0171,2.347,3.047
800,5,0.8,0.4,6.9578,1.609,2.659
1000,5,0.4,0.4,27.537,2.496,3.354
1000,5,0.6,0.4,30.7873,2.926,3.819
1000,5,0.8,0.4,24.6607,1.821,2.889
300,5,0.4,0.6,1.3999,3.285,4.195
300,5,0.6,0.6,0.5382,2.522,3.559
300,5,0.8,0.6,0.1768,1.212,2.322
500,5,0.4,0.6,17.3818,2.263,3.019
500,5,0.6,0.6,13.5856,2.628,3.472
500,5,0.8,0.6,-1.7948,1.676,2.871
800,5,0.4,0.6,24.7418,2.812,3.764
800,5,0.6,0.6,26.5025,2.257,3.142
800,5,0.8,0.6,14.0676,1.875,3.174
1000,5,0.4,0.6,27.1534,2.824,3.838
1000,5,0.6,0.6,29.1375,2.63,3.813
1000,5,0.8,0.6,-0.8429,1.741,2.741
